PeakID (cmd=annotatePeaks.pl macs-myeast_summits.bed sacCer3)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
macs-myeast_peak_1465	chrVIII	411045	411045	+	101.292	NA	TTS (YHR155W)	TTS (YHR155W)	1361	YHR156C	856561		NM_001179287		LIN1	SNU40	U5 snRNP complex subunit LIN1	protein-coding
macs-myeast_peak_2108	chrXII	460177	460177	+	101.292	NA	Intergenic	Intergenic	2494	YLR154C-G	1466409		NM_001184560		YLR154C-G	-	uncharacterized protein	protein-coding
macs-myeast_peak_502	chrIV	541841	541841	+	100.512	NA	promoter-TSS (YDR042C)	promoter-TSS (YDR042C)	-638	YDR042C	851612		NM_001180350		YDR042C	-	uncharacterized protein	protein-coding
macs-myeast_peak_179	chrII	477535	477535	+	98.805	NA	promoter-TSS (YBR118W)	promoter-TSS (YBR118W)	-136	YBR118W	852415		NM_001178466		TEF2	-	translation elongation factor EF-1 alpha	protein-coding
macs-myeast_peak_107	chrII	256278	256278	+	98.4615	NA	promoter-TSS (YBR009C)	promoter-TSS (YBR009C)	-53	YBR010W	852295		NM_001178358		HHT1	BUR5|SIN2	histone H3	protein-coding
macs-myeast_peak_3058	chrXV	978293	978293	+	97.7754	NA	promoter-TSS (YOR344C)	promoter-TSS (YOR344C)	-224	YOR344C	854525		NM_001183764		TYE7	SGC1	Tye7p	protein-coding
macs-myeast_peak_1316	chrVII	939692	939692	+	97.2018	NA	promoter-TSS (YGR221C)	promoter-TSS (YGR221C)	-231	YGR222W	853137		NM_001181351		PET54	-	Pet54p	protein-coding
macs-myeast_peak_2725	chrXIV	576100	576100	+	97.0976	NA	promoter-TSS (YNL031C)	promoter-TSS (YNL031C)	-50	YNL031C	855700		NM_001182870		HHT2	-	histone H3	protein-coding
macs-myeast_peak_3290	chrXVI	719379	719379	+	97.0573	NA	promoter-TSS (YPR091C)	promoter-TSS (YPR091C)	-911	YPR091C	856207		NM_001184188		NVJ2	-	Nvj2p	protein-coding
macs-myeast_peak_1190	chrVII	534832	534832	+	96.4359	NA	promoter-TSS (YGR027C)	promoter-TSS (YGR027C)	-374	YGR027C	852911		NM_001181156		RPS25A	RPS31A	ribosomal 40S subunit protein S25A	protein-coding
macs-myeast_peak_1098	chrVII	254546	254546	+	96.2954	NA	promoter-TSS (YGL136C)	promoter-TSS (YGL136C)	-95	YGL135W	852742		NM_001181000		RPL1B	SSM2	ribosomal 60S subunit protein L1B	protein-coding
macs-myeast_peak_3293	chrXVI	731797	731797	+	96.0143	NA	promoter-TSS (YPR102C)	promoter-TSS (YPR102C)	-49	YPR102C	856217		NM_001184199		RPL11A	-	ribosomal 60S subunit protein L11A	protein-coding
macs-myeast_peak_1551	chrIX	232403	232403	+	95.9448	NA	promoter-TSS (YIL069C)	promoter-TSS (YIL069C)	-34	YIL069C	854741		NM_001179419		RPS24B	RPS24EB	ribosomal 40S subunit protein S24B	protein-coding
macs-myeast_peak_2819	chrXV	160667	160667	+	95.5065	NA	promoter-TSS (YOL086C)	promoter-TSS (YOL086C)	-73	YOL086C	854068		NM_001183340		ADH1	ADC1	alcohol dehydrogenase ADH1	protein-coding
