PeakID (cmd=annotatePeaks.pl macs-myeast_summits.bed sacCer3)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
macs-myeast_peak_2108	NC_001144.5	460177	460177	+	101.292	NA	NA	NA	NA	NA								
macs-myeast_peak_1465	NC_001140.6	411045	411045	+	101.292	NA	NA	NA	NA	NA								
macs-myeast_peak_502	NC_001136.10	541841	541841	+	100.512	NA	NA	NA	NA	NA								
macs-myeast_peak_179	NC_001134.8	477535	477535	+	98.805	NA	NA	NA	NA	NA								
macs-myeast_peak_107	NC_001134.8	256278	256278	+	98.4615	NA	NA	NA	NA	NA								
macs-myeast_peak_3058	NC_001147.6	978293	978293	+	97.7754	NA	NA	NA	NA	NA								
macs-myeast_peak_1316	NC_001139.9	939692	939692	+	97.2018	NA	NA	NA	NA	NA								
macs-myeast_peak_2725	NC_001146.8	576100	576100	+	97.0976	NA	NA	NA	NA	NA								
macs-myeast_peak_3290	NC_001148.4	719379	719379	+	97.0573	NA	NA	NA	NA	NA								
macs-myeast_peak_1190	NC_001139.9	534832	534832	+	96.4359	NA	NA	NA	NA	NA								
macs-myeast_peak_1098	NC_001139.9	254546	254546	+	96.2954	NA	NA	NA	NA	NA								
macs-myeast_peak_3293	NC_001148.4	731797	731797	+	96.0143	NA	NA	NA	NA	NA								
macs-myeast_peak_1551	NC_001141.2	232403	232403	+	95.9448	NA	NA	NA	NA	NA								
macs-myeast_peak_2819	NC_001147.6	160667	160667	+	95.5065	NA	NA	NA	NA	NA								
macs-myeast_peak_1667	NC_001142.9	228508	228508	+	94.9407	NA	NA	NA	NA	NA								
macs-myeast_peak_2726	NC_001146.8	576627	576627	+	94.4579	NA	NA	NA	NA	NA								
macs-myeast_peak_2592	NC_001146.8	174635	174635	+	94.413	NA	NA	NA	NA	NA								
macs-myeast_peak_1276	NC_001139.9	807741	807741	+	94.2075	NA	NA	NA	NA	NA								
macs-myeast_peak_2258	NC_001144.5	1002364	1002364	+	93.502	NA	NA	NA	NA	NA								
macs-myeast_peak_2727	NC_001146.8	585560	585560	+	92.812	NA	NA	NA	NA	NA								
macs-myeast_peak_32	NC_001133.9	142129	142129	+	92.6403	NA	NA	NA	NA	NA								
macs-myeast_peak_1130	NC_001139.9	345954	345954	+	92.2706	NA	NA	NA	NA	NA								
macs-myeast_peak_2006	NC_001144.5	97574	97574	+	91.6993	NA	NA	NA	NA	NA								
macs-myeast_peak_1646	NC_001142.9	173064	173064	+	91.5528	NA	NA	NA	NA	NA								
macs-myeast_peak_974	NC_001138.5	65003	65003	+	91.446	NA	NA	NA	NA	NA								
macs-myeast_peak_1968	NC_001143.9	559392	559392	+	91.3161	NA	NA	NA	NA	NA								
macs-myeast_peak_3000	NC_001147.6	797397	797397	+	90.979	NA	NA	NA	NA	NA								
macs-myeast_peak_1788	NC_001142.9	663713	663713	+	90.8718	NA	NA	NA	NA	NA								
macs-myeast_peak_1700	NC_001142.9	349393	349393	+	90.8367	NA	NA	NA	NA	NA								
macs-myeast_peak_3130	NC_001148.4	173106	173106	+	90.6964	NA	NA	NA	NA	NA								
macs-myeast_peak_1504	NC_001141.2	68693	68693	+	90.6578	NA	NA	NA	NA	NA								
macs-myeast_peak_3022	NC_001147.6	867064	867064	+	90.0795	NA	NA	NA	NA	NA								
macs-myeast_peak_1366	NC_001140.6	75374	75374	+	89.9662	NA	NA	NA	NA	NA								
macs-myeast_peak_1489	NC_001140.6	505581	505581	+	89.9338	NA	NA	NA	NA	NA								
macs-myeast_peak_1192	NC_001139.9	545142	545142	+	89.9122	NA	NA	NA	NA	NA								
macs-myeast_peak_411	NC_001136.10	229860	229860	+	89.667	NA	NA	NA	NA	NA								
macs-myeast_peak_822	NC_001137.3	123007	123007	+	89.3785	NA	NA	NA	NA	NA								
macs-myeast_peak_888	NC_001137.3	322192	322192	+	89.059	NA	NA	NA	NA	NA								
macs-myeast_peak_1992	NC_001144.5	48666	48666	+	88.9034	NA	NA	NA	NA	NA								
macs-myeast_peak_2075	NC_001144.5	348651	348651	+	88.7955	NA	NA	NA	NA	NA								
macs-myeast_peak_127	NC_001134.8	332793	332793	+	88.2225	NA	NA	NA	NA	NA								
macs-myeast_peak_2210	NC_001144.5	819276	819276	+	88.1092	NA	NA	NA	NA	NA								
macs-myeast_peak_2420	NC_001145.3	500745	500745	+	88.1055	NA	NA	NA	NA	NA								
macs-myeast_peak_1496	NC_001140.6	554108	554108	+	88.026	NA	NA	NA	NA	NA								
macs-myeast_peak_1910	NC_001143.9	364617	364617	+	87.8695	NA	NA	NA	NA	NA								
macs-myeast_peak_2766	NC_001146.8	716080	716080	+	87.8469	NA	NA	NA	NA	NA								
macs-myeast_peak_1445	NC_001140.6	362015	362015	+	87.7928	NA	NA	NA	NA	NA								
macs-myeast_peak_1310	NC_001139.9	920529	920529	+	87.7105	NA	NA	NA	NA	NA								
macs-myeast_peak_1638	NC_001142.9	140129	140129	+	87.3948	NA	NA	NA	NA	NA								
macs-myeast_peak_1224	NC_001139.9	648950	648950	+	87.2617	NA	NA	NA	NA	NA								
macs-myeast_peak_314	NC_001135.5	163286	163286	+	87.1964	NA	NA	NA	NA	NA								
macs-myeast_peak_903	NC_001137.3	362713	362713	+	87.162	NA	NA	NA	NA	NA								
macs-myeast_peak_3074	NC_001147.6	1028694	1028694	+	86.9777	NA	NA	NA	NA	NA								
macs-myeast_peak_3012	NC_001147.6	832303	832303	+	86.9759	NA	NA	NA	NA	NA								
macs-myeast_peak_3266	NC_001148.4	654127	654127	+	86.954	NA	NA	NA	NA	NA								
macs-myeast_peak_3284	NC_001148.4	700488	700488	+	86.9313	NA	NA	NA	NA	NA								
macs-myeast_peak_213	NC_001134.8	592812	592812	+	86.7519	NA	NA	NA	NA	NA								
macs-myeast_peak_446	NC_001136.10	356954	356954	+	86.7343	NA	NA	NA	NA	NA								
macs-myeast_peak_1795	NC_001142.9	703099	703099	+	86.6959	NA	NA	NA	NA	NA								
macs-myeast_peak_2804	NC_001147.6	110214	110214	+	86.2386	NA	NA	NA	NA	NA								
macs-myeast_peak_1621	NC_001142.9	90714	90714	+	85.9272	NA	NA	NA	NA	NA								
macs-myeast_peak_1475	NC_001140.6	451220	451220	+	85.5075	NA	NA	NA	NA	NA								
macs-myeast_peak_2119	NC_001144.5	522625	522625	+	85.4878	NA	NA	NA	NA	NA								
macs-myeast_peak_1895	NC_001143.9	327547	327547	+	85.3032	NA	NA	NA	NA	NA								
macs-myeast_peak_2797	NC_001147.6	87431	87431	+	85.2398	NA	NA	NA	NA	NA								
macs-myeast_peak_554	NC_001136.10	721557	721557	+	84.8549	NA	NA	NA	NA	NA								
macs-myeast_peak_1246	NC_001139.9	726943	726943	+	84.8029	NA	NA	NA	NA	NA								
macs-myeast_peak_970	NC_001138.5	54874	54874	+	84.7739	NA	NA	NA	NA	NA								
macs-myeast_peak_234	NC_001134.8	681897	681897	+	84.6512	NA	NA	NA	NA	NA								
macs-myeast_peak_1561	NC_001141.2	267890	267890	+	84.6101	NA	NA	NA	NA	NA								
macs-myeast_peak_2318	NC_001145.3	146457	146457	+	84.6051	NA	NA	NA	NA	NA								
macs-myeast_peak_3167	NC_001148.4	303073	303073	+	84.5754	NA	NA	NA	NA	NA								
macs-myeast_peak_2102	NC_001144.5	440380	440380	+	84.5502	NA	NA	NA	NA	NA								
macs-myeast_peak_2248	NC_001144.5	951069	951069	+	84.2162	NA	NA	NA	NA	NA								
macs-myeast_peak_2264	NC_001144.5	1018953	1018953	+	84.1362	NA	NA	NA	NA	NA								
macs-myeast_peak_2477	NC_001145.3	701717	701717	+	84.074	NA	NA	NA	NA	NA								
macs-myeast_peak_721	NC_001136.10	1269957	1269957	+	84.0551	NA	NA	NA	NA	NA								
macs-myeast_peak_2220	NC_001144.5	855824	855824	+	84.0348	NA	NA	NA	NA	NA								
macs-myeast_peak_800	NC_001137.3	61081	61081	+	83.897	NA	NA	NA	NA	NA								
macs-myeast_peak_2179	NC_001144.5	713182	713182	+	83.8794	NA	NA	NA	NA	NA								
macs-myeast_peak_1298	NC_001139.9	883923	883923	+	83.7507	NA	NA	NA	NA	NA								
macs-myeast_peak_2364	NC_001145.3	297093	297093	+	83.7224	NA	NA	NA	NA	NA								
macs-myeast_peak_1984	NC_001143.9	618771	618771	+	83.6143	NA	NA	NA	NA	NA								
